#
# Hybride sigma-pressure coefficients for LOTOS-EUROS.
# Half-level numbering is bottom-up.
#
# Selection of lowest 42 layers out of ECMWF L137 over full atmosphere.
# Coefficients copied from meteo archive with ECMWF data for LOTOS-EUROS.
#
# hlev, hyai [Pa]   , hybi [1]
#
    42,     0.0     , 0
    41,     4.666084, 0
    40,    18.60893 , 0
    39,    54.95546 , 0
    38,   131.4255  , 0
    37,   269.5396  , 0
    36,   492.616   , 0
    35,   823.9678  , 0
    34,  1285.61    , 0
    33,  1897.519   , 0
    32,  2677.348   , 0
    31,  3640.468   , 0
    30,  4799.149   , 0
    29,  6156.074   , 0
    28,  7727.412   , 0.0000067607
    27,  9562.683   , 0.0001985774
    26, 11660.07    , 0.001352806
    25, 13881.33    , 0.005377815
    24, 16026.12    , 0.01481563
    23, 17901.62    , 0.0321761
    22, 19343.51    , 0.05972841
    21, 20219.66    , 0.09946167
    20, 20425.72    , 0.153125
    19, 19874.03    , 0.2223329
    18, 18489.71    , 0.3085985
    17, 16262.05    , 0.4111248
    16, 13427.77    , 0.5216192
    15, 10370.18    , 0.6300358
    14,  8163.375   , 0.704669
    13,  6168.531   , 0.7707976
    12,  4457.375   , 0.8272561
    11,  3057.266   , 0.8739293
    10,  1961.5     , 0.9114482
     9,  1387.547   , 0.9318808
     8,   926.5078  , 0.9490644
     7,   568.0625  , 0.9633517
     6,   302.4766  , 0.9750784
     5,   122.1016  , 0.9845419
     4,    62.78125 , 0.9884995
     3,    22.83594 , 0.991984
     2,     3.757813, 0.9950025
     1,     0.0     , 0.9976301
     0,     0.0     , 1.0
