#
# Hybride sigma-pressure coefficients for LOTOS-EUROS.
# Half-level numbering is bottom-up.
#
# Production of input meteo for LOTOS-EUROS using LEIP scripts;
# selection of 42 layers out of ECMWF L137 over full atmosphere
# using coarsening (bottom to top):
#
#   1/1/1/1/1/
#   2/2/2/2/2/
#   3/3/3/3/3/
#   4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/
#   3
#
# Coefficients copied from meteo archive with ECMWF data for LOTOS-EUROS.
#
# Further coarsening to 10+5 layers for CrIS NH3 simulations:
#
#   1 2 2 2 2 2 3 3 3 4   4 4 4 4 2
#
# hlev,        hyai [Pa],         hybi [1],           p [Pa]
    15,         0.000000,         0.000000,         0.000000
    14,        18.608931,         0.000000,        18.608931
    13,       492.616028,         0.000000,       492.616028
    12,      2677.348145,         0.000000,      2677.348145
    11,      7727.412109,         0.000007,      7728.088179
    10,     16026.115234,         0.014816,     17507.678087
     9,     20425.718750,         0.153125,     35738.222028
     8,     16262.046875,         0.411125,     57374.523462
     7,      8163.375000,         0.704669,     78630.274872
     6,      3057.265625,         0.873929,     90450.191841
     5,      1387.546875,         0.931881,     94575.624086
     4,       568.062500,         0.963352,     96903.235153
     3,       122.101562,         0.984542,     98576.290863
     2,        22.835938,         0.991984,     99221.236912
     1,         0.000000,         0.997630,     99763.011932
     0,         0.000000,         1.000000,    100000.000000
