#
# Tracers used in LOTOS-EUROS.
#
# The 'genes' scripts will use this table to generate the tracer indices.
#
# File format:
#
# - Comment lines starting with '#' are ignored, as well as empty lines.
#
# - The 'name' is the short name that will appear in the indices, e.g. 'i_no2', 'i_no3', etc.
#
# - The 'description' is a long name which might be used in output.
#
# - Units are probably 'ppb' for gasses and 'ug/m3' for aersols.
#   These will end up in the 'specunit' array.
#
# - The molecure 'formula' are used to compute the molecule mass.
#   Names correspond to atom masses, the value "R" denotes an unspecified group 
#   and is given a dummy mass (1e3 kg/mol or so).
#   The formula are also used to scan for certain atoms as used in the labeling,
#   for example all tracers with a 'N' to trace the origin of nitrogen mass.
#
# - aerosol density in kg/m3
# - aerosol hygroscopy
#
# - The 'groups' are space seperated lists with group names that are used to select tracers.
#
# - The 'properties' are space seperate list of properties assigned to a tracer.
#   Fore example used to create index groups, for example the array 'ispecs_seasalt'
#   with all indices for seasalt tracers.
#
# History
#   2011, Richard Kranenburg, TNO
#     Collected tracers from model version v1.7.3 .
#   2011-09, Arjo Segers, TNO
#     Updated for model version v1.7.8 .
#     Tracer order following reactions in original Iter routine.
#   2011-10, Arjo Segers, TNO
#     Added "units" column to explicitly define the tracer units;
#     before, if the "aerosol" property was set the units were "ug/m3"
#     and otherwise the units were "ppb" (gasses).
#   2012-11, Arjo Segers, TNO
#     Added M7 tracers for v1.8.007 .
#   2012-11, Arjo Segers, TNO
#     Added VBS tracers for v1.8.008 .
#   2013-07, Arjo Segers, TNO
#     Updated M7 settings for v1.9.003 .
#   2013-08, Richard Kranenburg, TNO
#     Added Pollen tracer for v1.9.006 .
#     Added property pollen_mode (for pollen aerosol)
#     Added group pollen
#  2014-02, Astrid Manders, TNO
#     Added columns for aerosl properties need for radiation calcuations:
#       aerdens   aerhygro
#  2019-05, John Douros, KNMI
#     Added SIA25 accumulated species needed for CAMS50 output
#
#  2019-11, Jianbing Jin, Arjo Segers
#     Added column with aerosol radius as used in "le_radiation" codes.
#     Labels refer to records define in file "aerosol-radius.csv".
#     Note that drydeposition uses the "partsize" array from "le_particle_data.F90".
#   
name    , description                                                       , units, formula              , aerrad    , aerdens   , aerhygro , groups              , properties
#                                                                                                             um         kg/m3         1

#
# CBM4 tracers (1)
#
NO2     , Nitrogen dioxide                                                  , ppb  , N + O 2              ,           ,           ,          , cbm4                , snox
NO      , Nitric oxide                                                      , ppb  , N + O                ,           ,           ,          , cbm4                , 
O3      , Ozone                                                             , ppb  , O 3                  ,           ,           ,          , cbm4                , 
CO      , Carbon monoxide                                                   , ppb  , C + O                ,           ,           ,          , cbm4                , 
FORM    , Formaldehyde                                                      , ppb  , H + C + H + O        ,           ,           ,          , cbm4                , nmvoc
ALD     , Aldehyde                                                          , ppb  , C 2 + H 3 + O        ,           ,           ,          , cbm4                , nmvoc
PAN     , Peroxyacetyl nitrate                                              , ppb  , C 2 + H 3 + N + O 5  ,           ,           ,          , cbm4                , snox
MGLY    , Methylglyoxal and other aromatic products                         , ppb  , C 3 + H 4 + O 2      ,           ,           ,          , cbm4                , nmvoc
PAR     , Paraffin carbon bond (C-C)                                        , ppb  , C + H 3              ,           ,           ,          , cbm4                , nmvoc soa_prec
OLE     , Terminal olefin carbon bond (R-C=C)                               , ppb  , C 2 + H 3            ,           ,           ,          , cbm4                , nmvoc soa_prec
ETH     , Ethene                                                            , ppb  , C 2 + H 4            ,           ,           ,          , cbm4                , nmvoc
TOL     , Toluene and other monoalkyl aromatics                             , ppb  , C 7 + H 8            ,           ,           ,          , cbm4                , nmvoc soa_prec
CRES    , Cresol and higher molecular weight phenols                        , ppb  , C 7 + H 8 + O        ,           ,           ,          , cbm4                , nmvoc
XYL     , Xylene and other polyalkyl aromatics                              , ppb  , C 8 + H 10           ,           ,           ,          , cbm4                , nmvoc soa_prec
#
# green-house gasses
#
CO2     , Carbon dioxide                                                    , ppb  , C + O 2              ,           ,           ,          , co2                 ,    
#
# SOx tracers; keep in order SO4a,SO2 for sulphur conservation:
#
SO4a_f  , Sulfate aerosol fine mode                                         , ug/m3, S + O 4              , <sia_f>   , 1.77e3    , 0.8      , sia sulphur         , sia aerosol fine_modes
SO2     , Sulfur dioxide                                                    , ppb  , S + O 2              ,           ,           ,          , cbm4 sulphur        ,
#
# CBM4 tracers (2)
#
